mother_id(depth=1),mother_label_fr
tm-4cuzvu8k,"homme, animal, nature"
tm-5ghnfhtz,relations entre personnages
tm-6vzkr8da,personnifications et allégories
tm-8dvxtncr,personnages de l'Ancien Testament
tm-8w59dqrj,instruments de mesure
tm-952iiyye,parole (thèmes)
tm-9xdig6kt,outils et instruments divers
tm-UNK,événéments naturels
tm-adjk7xgi,instruments de musique
tm-akjcakin,"dons, échanges et mesures"
tm-aww2uwsc,personnages divins ou surnaturels
tm-b9hasrrk,aliments
tm-boubjbok,"tissus, parures et accessoires"
tm-cbnhsoso,jeux
tm-ceentecm,étude et savoir
tm-chm6nfv2,personnages historiques litteraires et mythologiques
tm-clb8u2vx,état du corps et de l'être
tm-codyk7ew,lieux
tm-dferfdbu,Bible
tm-dgunamb6,végétaux
tm-dtfhjmhe,éléments d'architecture
tm-e37knvgu,insignes
tm-es22d6su,animaux
tm-gie9c6et,clercs et statuts religieux
tm-gtia7dmq,soins du corps et maladies
tm-h4mihrdw,divin et surnaturel
tm-hmgjebc8,déplacements
tm-hnxe45cj,objets domestiques
tm-juhs4qki,pouvoir (thèmes)
tm-k7prxdpw,temps
tm-ka9s5rfg,personnages du Nouveau Testament
tm-kdmavf4s,meubles
tm-kdmndh48,catégories sociales et peuples
tm-kgvsqwxd,activités rurales
tm-khljsbs5,"scènes historiques, littéraires et mythologiques"
tm-l4c6ncu5,relations entre personnage et objet
tm-lxfddykj,"pouvoir, justice, conflit"
tm-mxk5b5af,vertus et vices (thèmes)
tm-n4nxt6at,activités sociales et festives
tm-nh4p7ibg,arts et savoirs
tm-njgn49nx,images
tm-nrthhnsw,naissance et mort
tm-nvexrnma,éléments naturels et intempéries
tm-paifj62y,cosmos
tm-pqk44ebu,personnages
tm-pxcro3sy,attitudes religieuses
tm-qaccoaqf,sacrements et rituels
tm-qhhmbog9,vertus et vices (sujets)
tm-qhsmnjeu,moyens de transport
tm-qmpqymzm,justice (thèmes)
tm-rfcju69x,"scènes liturgiques, rituelles et vie religieuse"
tm-rjrpwa7c,éléments du paysage
tm-rqhbyapw,alimentation
tm-ru4qcmye,sentiments et sexualite
tm-sjsrgabv,vie corporelle
tm-smvsgy3q,armes
tm-t4ksxzbv,"agriculture, artisanat et commerce, vie quotidienne, calendrier"
tm-twr3g7gr,peines corporelles et chatiments
tm-u3gxy5k2,écrits
tm-ukd2sjju,objets liturgiques et funéraires
tm-uyvtjqdl,objets liés à l'animal
tm-voqsjov6,substances naturelles
tm-wnsvi7uz,"apôtres, évangélistes, saints et saintes"
tm-xd3qz4bt,personnages fantastiques et monstres
tm-xhaodmx4,récipients et contenants
tm-xvaw7udz,luminaires
tm-xz4pq72a,corps humain et animal
tm-yknzerjb,conflit (thèmes)
tm-yl47emxq,saints et saintes
tm-yvy9sjme,activités artisanales
